[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017158, 通道: 1)
[*] 解码 RTOS 事件 10.0 秒（Ctrl+C 中断）...

[t=2us] trace_start
[t=9us] init
[t=21us] sysdesc
[t=29us] sysdesc
[t=29us] systime_us
[t=29us] isr_exit
[t=29us] overflow
[t=688,899us] task_stop_exec     id=0x200031EC
[t=688,902us] task_start_exec    main id=0x20010A54
[t=693,879us] task_stop_exec     main id=0x20010A54
[t=693,882us] task_start_exec    id=0x200031EC
[t=693,899us] task_stop_exec     id=0x200031EC
[t=693,902us] task_start_exec    main id=0x20010A54
[t=698,880us] task_stop_exec     main id=0x20010A54
[t=698,883us] task_start_exec    id=0x20006170
[t=698,891us] task_stop_exec     id=0x20006170
[t=698,894us] task_start_exec    id=0x200031EC
[t=698,910us] task_stop_exec     id=0x200031EC
[t=698,913us] task_start_exec    id=0x20006170
[t=698,925us] task_stop_exec     id=0x20006170
[t=698,928us] task_start_exec    main id=0x20010A54
[t=703,879us] task_stop_exec     main id=0x20010A54
[t=703,882us] task_start_exec    id=0x200031EC
[t=703,899us] task_stop_exec     id=0x200031EC
[t=703,902us] task_start_exec    main id=0x20010A54
[t=708,879us] task_stop_exec     main id=0x20010A54
[t=708,882us] task_start_exec    id=0x200031EC
[t=708,899us] task_stop_exec     id=0x200031EC
[t=708,902us] task_start_exec    main id=0x20010A54
[t=713,879us] task_stop_exec     main id=0x20010A54
[t=713,882us] task_start_exec    id=0x200031EC
[t=713,899us] task_stop_exec     id=0x200031EC
[t=713,902us] task_start_exec    main id=0x20010A54
[t=718,880us] task_stop_exec     main id=0x20010A54
[t=718,883us] task_start_exec    id=0x20006170
[t=718,891us] task_stop_exec     id=0x20006170
[t=718,893us] task_start_exec    id=0x200031EC
[t=718,910us] task_stop_exec     id=0x200031EC
[t=718,913us] task_start_exec    id=0x20006170
[t=718,925us] task_stop_exec     id=0x20006170
[t=718,928us] task_start_exec    main id=0x20010A54
[t=723,879us] task_stop_exec     main id=0x20010A54
[t=723,882us] task_start_exec    id=0x200031EC
[t=723,899us] task_stop_exec     id=0x200031EC
[t=723,902us] task_start_exec    main id=0x20010A54
[t=728,879us] task_stop_exec     main id=0x20010A54
[t=728,882us] task_start_exec    id=0x200031EC
[t=728,899us] task_stop_exec     id=0x200031EC
[t=728,902us] task_start_exec    main id=0x20010A54
[t=733,879us] task_stop_exec     main id=0x20010A54
[t=733,882us] task_start_exec    id=0x200031EC
[t=733,899us] task_stop_exec     id=0x200031EC
[t=733,902us] task_start_exec    main id=0x20010A54
[t=738,880us] task_stop_exec     main id=0x20010A54
[t=738,883us] task_start_exec    id=0x20006170
[t=738,891us] task_stop_exec     id=0x20006170
[t=738,894us] task_start_exec    id=0x200031EC
[t=738,910us] task_stop_exec     id=0x200031EC
[t=738,913us] task_start_exec    id=0x20006170
[t=738,925us] task_stop_exec     id=0x20006170
[t=738,928us] task_start_exec    main id=0x20010A54
[t=740,357us] task_create        id=0x20002A70
[t=740,365us] task_stop_exec     main id=0x20010A54
[t=740,368us] task_start_exec    id=0x20002A70
[t=740,381us] task_stop_exec     id=0x20002A70
[t=740,384us] task_start_exec    main id=0x20010A54
[t=740,438us] task_create        id=0x20004D50
[t=740,451us] task_stop_exec     main id=0x20010A54
[t=740,454us] task_start_exec    id=0x20004D50
[t=740,464us] task_stop_exec     id=0x20004D50
[t=740,467us] task_start_exec    id=0x20016A48
[t=740,470us] idle
[t=740,475us] user_stop          user=0
[t=740,492us] user_start         user=0
[t=740,878us] user_stop          user=0
[t=740,883us] user_start         user=0
[t=741,877us] user_stop          user=0
[t=741,883us] user_start         user=0
[t=742,877us] user_stop          user=0
[t=742,883us] user_start         user=0
[t=743,879us] task_stop_exec     id=0x20016A48
[t=743,882us] task_start_exec    id=0x200031EC
[t=743,899us] task_stop_exec     id=0x200031EC
[t=743,903us] task_start_exec    id=0x20016A48
[t=743,906us] idle
[t=743,910us] user_stop          user=0
[t=743,915us] user_start         user=0
[t=744,877us] user_stop          user=0
[t=744,883us] user_start         user=0
[t=745,877us] user_stop          user=0
[t=745,883us] user_start         user=0
[t=746,877us] user_stop          user=0
[t=746,883us] user_start         user=0
[t=747,877us] user_stop          user=0
[t=747,883us] user_start         user=0
[t=748,879us] task_stop_exec     id=0x20016A48
[t=748,882us] task_start_exec    id=0x200031EC
[t=748,900us] task_stop_exec     id=0x200031EC
[t=748,903us] task_start_exec    id=0x20016A48
[t=748,906us] idle
[t=748,910us] user_stop          user=0
[t=748,915us] user_start         user=0
[t=749,879us] task_stop_exec     id=0x20016A48
[t=749,882us] task_start_exec    id=0x20002A70
[t=751,267us] task_stop_exec     id=0x20002A70
[t=751,270us] task_start_exec    id=0x20016A48
[t=751,273us] idle
[t=751,278us] user_stop          user=0
[t=751,283us] user_start         user=0
[t=751,801us] task_stop_exec     id=0x20016A48
[t=751,804us] task_start_exec    id=0x20002A70
[t=751,825us] task_stop_exec     id=0x20002A70
[t=751,828us] task_start_exec    id=0x20016A48
[t=751,831us] idle
[t=751,836us] user_stop          user=0
[t=751,841us] user_start         user=0
[t=751,877us] user_stop          user=0
[t=751,882us] user_start         user=0
[t=752,877us] user_stop          user=0
[t=752,883us] user_start         user=0
[t=753,879us] task_stop_exec     id=0x20016A48
[t=753,882us] task_start_exec    id=0x200031EC
[t=753,900us] task_stop_exec     id=0x200031EC
[t=753,903us] task_start_exec    id=0x20016A48
[t=753,906us] idle
[t=753,910us] user_stop          user=0
[t=753,915us] user_start         user=0
[t=754,877us] user_stop          user=0
[t=754,883us] user_start         user=0
[t=755,877us] user_stop          user=0
[t=755,883us] user_start         user=0
[t=756,877us] user_stop          user=0
[t=756,883us] user_start         user=0
[t=757,877us] user_stop          user=0
[t=757,883us] user_start         user=0
[t=758,879us] task_stop_exec     id=0x20016A48
[t=758,882us] task_start_exec    id=0x20006170
[t=758,890us] task_stop_exec     id=0x20006170
[t=758,893us] task_start_exec    id=0x200031EC
[t=758,910us] task_stop_exec     id=0x200031EC
[t=758,913us] task_start_exec    id=0x20006170
[t=758,925us] task_stop_exec     id=0x20006170
[t=758,928us] task_start_exec    id=0x20016A48
[t=758,931us] idle
[t=758,936us] user_stop          user=0
[t=758,941us] user_start         user=0
[t=759,878us] user_stop          user=0
[t=759,883us] user_start         user=0
[t=760,879us] task_stop_exec     id=0x20016A48
[t=760,882us] task_start_exec    id=0x20002A70
[t=762,267us] task_stop_exec     id=0x20002A70
[t=762,270us] task_start_exec    id=0x20016A48
[t=762,273us] idle
[t=762,278us] user_stop          user=0
[t=762,283us] user_start         user=0
[t=762,801us] task_stop_exec     id=0x20016A48
[t=762,804us] task_start_exec    id=0x20002A70
[t=762,824us] task_stop_exec     id=0x20002A70
[t=762,827us] task_start_exec    id=0x20016A48
[t=762,830us] idle
[t=762,835us] user_stop          user=0
[t=762,840us] user_start         user=0
[t=762,877us] user_stop          user=0
[t=762,882us] user_start         user=0
[t=763,879us] task_stop_exec     id=0x20016A48
[t=763,882us] task_start_exec    id=0x200031EC
[t=763,899us] task_stop_exec     id=0x200031EC
[t=763,902us] task_start_exec    id=0x20016A48
[t=763,905us] idle
[t=763,910us] user_stop          user=0
[t=763,915us] user_start         user=0
[t=764,877us] user_stop          user=0
[t=764,883us] user_start         user=0
[t=765,877us] user_stop          user=0
[t=765,883us] user_start         user=0
[t=766,877us] user_stop          user=0
[t=766,883us] user_start         user=0
[t=767,877us] user_stop          user=0
[t=767,883us] user_start         user=0
[t=768,879us] task_stop_exec     id=0x20016A48
[t=768,882us] task_start_exec    id=0x200031EC
[t=768,899us] task_stop_exec     id=0x200031EC
[t=768,903us] task_start_exec    id=0x20016A48
[t=768,906us] idle
[t=768,910us] user_stop          user=0
[t=768,915us] user_start         user=0
[t=769,877us] user_stop          user=0
[t=769,883us] user_start         user=0
[t=770,877us] user_stop          user=0
[t=770,883us] user_start         user=0
[t=771,879us] task_stop_exec     id=0x20016A48
[t=771,882us] task_start_exec    id=0x20002A70
[t=773,267us] task_stop_exec     id=0x20002A70
[t=773,270us] task_start_exec    id=0x20016A48
[t=773,273us] idle
[t=773,278us] user_stop          user=0
[t=773,283us] user_start         user=0
[t=773,801us] task_stop_exec     id=0x20016A48
[t=773,804us] task_start_exec    id=0x20002A70
[t=773,824us] task_stop_exec     id=0x20002A70
[t=773,827us] task_start_exec    id=0x20016A48
[t=773,830us] idle
[t=773,835us] user_stop          user=0
[t=773,840us] user_start         user=0
[t=773,879us] task_stop_exec     id=0x20016A48
[t=773,882us] task_start_exec    id=0x200031EC
[t=773,900us] task_stop_exec     id=0x200031EC
[t=773,903us] task_start_exec    id=0x20016A48
[t=773,906us] idle
[t=773,910us] user_stop          user=0
[t=773,915us] user_start         user=0
[t=774,877us] user_stop          user=0
[t=774,883us] user_start         user=0
[t=775,877us] user_stop          user=0
[t=775,883us] user_start         user=0
[t=776,877us] user_stop          user=0
[t=776,883us] user_start         user=0
[t=777,877us] user_stop          user=0
[t=777,883us] user_start         user=0
[t=778,879us] task_stop_exec     id=0x20016A48
[t=778,882us] task_start_exec    id=0x20006170
[t=778,890us] task_stop_exec     id=0x20006170
[t=778,893us] task_start_exec    id=0x200031EC
[t=778,910us] task_stop_exec     id=0x200031EC
[t=778,913us] task_start_exec    id=0x20006170
[t=778,925us] task_stop_exec     id=0x20006170
[t=778,928us] task_start_exec    id=0x20016A48
[t=778,931us] idle
[t=778,936us] user_stop          user=0
[t=778,941us] user_start         user=0
[t=779,877us] user_stop          user=0
[t=779,883us] user_start         user=0
[t=780,877us] user_stop          user=0
[t=780,883us] user_start         user=0
[t=781,877us] user_stop          user=0
[t=781,883us] user_start         user=0
[t=782,879us] task_stop_exec     id=0x20016A48
[t=782,882us] task_start_exec    id=0x20002A70
[t=783,879us] task_stop_exec     id=0x20002A70
[t=783,882us] task_start_exec    id=0x200031EC
[t=783,899us] task_stop_exec     id=0x200031EC
[t=783,902us] task_start_exec    id=0x20002A70
[t=784,266us] task_stop_exec     id=0x20002A70
[t=784,270us] task_start_exec    id=0x20016A48
[t=784,273us] idle
[t=784,278us] user_stop          user=0
[t=784,283us] user_start         user=0
[t=784,800us] task_stop_exec     id=0x20016A48
[t=784,803us] task_start_exec    id=0x20002A70
[t=784,824us] task_stop_exec     id=0x20002A70
[t=784,827us] task_start_exec    id=0x20016A48
[t=784,830us] idle
[t=784,835us] user_stop          user=0
[t=784,840us] user_start         user=0
[t=784,877us] user_stop          user=0
[t=784,882us] user_start         user=0
[t=785,877us] user_stop          user=0
[t=785,883us] user_start         user=0
[t=786,877us] user_stop          user=0
[t=786,883us] user_start         user=0
[t=787,877us] user_stop          user=0
[t=787,883us] user_start         user=0
[t=788,879us] task_stop_exec     id=0x20016A48
[t=788,882us] task_start_exec    id=0x200031EC
[t=788,900us] task_stop_exec     id=0x200031EC
[t=788,903us] task_start_exec    id=0x20016A48
[t=788,906us] idle
[t=788,910us] user_stop          user=0
[t=788,915us] user_start         user=0
[t=789,877us] user_stop          user=0
[t=789,883us] user_start         user=0
[t=790,877us] user_stop          user=0
[t=790,883us] user_start         user=0
[t=791,877us] user_stop          user=0
[t=791,883us] user_start         user=0
[t=792,877us] user_stop          user=0
[t=792,883us] user_start         user=0
[t=793,879us] task_stop_exec     id=0x20016A48
[t=793,882us] task_start_exec    id=0x20002A70
[t=793,890us] task_stop_exec     id=0x20002A70
[t=793,893us] task_start_exec    id=0x200031EC
[t=793,910us] task_stop_exec     id=0x200031EC
[t=793,913us] task_start_exec    id=0x20002A70
[t=794,994us] task_stop_exec     id=0x20002A70
[t=794,998us] task_start_exec    id=0x20016A48
[t=795,001us] idle
[t=795,006us] user_stop          user=0
[t=795,011us] user_start         user=0
[t=795,878us] user_stop          user=0
[t=795,883us] user_start         user=0
[t=796,877us] user_stop          user=0
[t=796,883us] user_start         user=0
[t=797,877us] user_stop          user=0
[t=797,883us] user_start         user=0
[t=798,879us] task_stop_exec     id=0x20016A48
[t=798,882us] task_start_exec    id=0x20006170
[t=798,890us] task_stop_exec     id=0x20006170
[t=798,893us] task_start_exec    id=0x200031EC
[t=798,910us] task_stop_exec     id=0x200031EC
[t=798,913us] task_start_exec    id=0x20006170
[t=798,925us] task_stop_exec     id=0x20006170
[t=798,928us] task_start_exec    id=0x20016A48
[t=798,931us] idle
[t=798,936us] user_stop          user=0
[t=798,941us] user_start         user=0
[t=799,877us] user_stop          user=0
[t=799,883us] user_start         user=0
[t=800,877us] user_stop          user=0
[t=800,883us] user_start         user=0
[t=801,877us] user_stop          user=0
[t=801,883us] user_start         user=0
[t=802,877us] user_stop          user=0
[t=802,883us] user_start         user=0
[t=803,879us] task_stop_exec     id=0x20016A48
[t=803,882us] task_start_exec    id=0x200031EC
[t=803,899us] task_stop_exec     id=0x200031EC
[t=803,903us] task_start_exec    id=0x20016A48
[t=803,906us] idle
[t=803,910us] user_stop          user=0
[t=803,915us] user_start         user=0
[t=804,879us] task_stop_exec     id=0x20016A48
[t=804,882us] task_start_exec    id=0x20002A70
[t=806,267us] task_stop_exec     id=0x20002A70
[t=806,270us] task_start_exec    id=0x20016A48
[t=806,273us] idle
[t=806,278us] user_stop          user=0
[t=806,283us] user_start         user=0
[t=806,801us] task_stop_exec     id=0x20016A48
[t=806,804us] task_start_exec    id=0x20002A70
[t=806,824us] task_stop_exec     id=0x20002A70
[t=806,827us] task_start_exec    id=0x20016A48
[t=806,830us] idle
[t=806,835us] user_stop          user=0
[t=806,840us] user_start         user=0
[t=806,877us] user_stop          user=0
[t=806,882us] user_start         user=0
[t=807,877us] user_stop          user=0
[t=807,883us] user_start         user=0
[t=808,879us] task_stop_exec     id=0x20016A48
[t=808,882us] task_start_exec    id=0x200031EC
[t=808,899us] task_stop_exec     id=0x200031EC
[t=808,902us] task_start_exec    id=0x20016A48
[t=808,905us] idle
[t=808,910us] user_stop          user=0
[t=808,915us] user_start         user=0
[t=809,877us] user_stop          user=0
[t=809,883us] user_start         user=0
[t=810,877us] user_stop          user=0
[t=810,883us] user_start         user=0
[t=811,877us] user_stop          user=0
[t=811,883us] user_start         user=0
[t=812,877us] user_stop          user=0
[t=812,883us] user_start         user=0
[t=813,879us] task_stop_exec     id=0x20016A48
[t=813,882us] task_start_exec    id=0x200031EC
[t=813,900us] task_stop_exec     id=0x200031EC
[t=813,903us] task_start_exec    id=0x20016A48
[t=813,906us] idle
[t=813,910us] user_stop          user=0
[t=813,915us] user_start         user=0
[t=814,877us] user_stop          user=0
[t=814,883us] user_start         user=0
[t=815,879us] task_stop_exec     id=0x20016A48
[t=815,882us] task_start_exec    id=0x20002A70
[t=817,267us] task_stop_exec     id=0x20002A70
[t=817,270us] task_start_exec    id=0x20016A48
[t=817,273us] idle
[t=817,278us] user_stop          user=0
[t=817,283us] user_start         user=0
