[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017148, 通道: 1)
[*] 解码 RTOS 事件 3.0 秒（Ctrl+C 中断）...

[t=1,286us] task_stop_exec
[t=1,288us] task_start_exec    id=0x200031DC
[t=1,298us] task_stop_exec     id=0x200031DC
[t=1,299us] task_start_exec    id=0x20016A38
[t=1,301us] idle
[t=3,429us] task_stop_exec     id=0x20016A38
[t=3,432us] trace_stop
[t=57,673,929us] task_start_exec    ppg id=0x20002A60
[t=57,673,953us] task_stop_exec     ppg id=0x20002A60
[t=57,673,957us] task_start_exec    id=0x20016A38
[t=57,673,960us] idle
[t=57,677,986us] task_stop_exec     id=0x20016A38
[t=57,677,990us] task_start_exec    ble id=0x200031DC
[t=57,678,013us] task_stop_exec     ble id=0x200031DC
[t=57,678,017us] task_start_exec    id=0x20016A38
[t=57,678,020us] idle
[t=57,682,986us] task_stop_exec     id=0x20016A38
[t=57,682,990us] task_start_exec    ppg id=0x20002A60
[t=57,682,999us] task_stop_exec     ppg id=0x20002A60
[t=57,683,003us] task_start_exec    ble id=0x200031DC
[t=57,683,025us] task_stop_exec     ble id=0x200031DC
[t=57,683,029us] task_start_exec    ppg id=0x20002A60
[t=57,684,415us] task_stop_exec     ppg id=0x20002A60
[t=57,684,419us] task_start_exec    id=0x20016A38
[t=57,684,423us] idle
[t=57,684,949us] task_stop_exec     id=0x20016A38
[t=57,684,952us] task_start_exec    ppg id=0x20002A60
[t=57,684,977us] task_stop_exec     ppg id=0x20002A60
[t=57,684,981us] task_start_exec    id=0x20016A38
[t=57,684,984us] idle
[t=57,687,986us] task_stop_exec     id=0x20016A38
[t=57,687,990us] task_start_exec    ble id=0x200031DC
[t=57,688,013us] task_stop_exec     ble id=0x200031DC
[t=57,688,017us] task_start_exec    id=0x20016A38
[t=57,688,020us] idle
[t=57,692,986us] task_stop_exec     id=0x20016A38
[t=57,692,990us] task_start_exec    key id=0x20006160
[t=57,692,999us] task_stop_exec     key id=0x20006160
[t=57,693,003us] task_start_exec    ble id=0x200031DC
[t=57,693,025us] task_stop_exec     ble id=0x200031DC
[t=57,693,029us] task_start_exec    key id=0x20006160
[t=57,693,044us] task_stop_exec     key id=0x20006160
[t=57,693,048us] task_start_exec    id=0x20016A38
[t=57,693,052us] idle
[t=57,693,986us] task_stop_exec     id=0x20016A38
[t=57,693,990us] task_start_exec    ppg id=0x20002A60
[t=57,695,379us] task_stop_exec     ppg id=0x20002A60
[t=57,695,383us] task_start_exec    id=0x20016A38
[t=57,695,387us] idle
[t=57,695,912us] task_stop_exec     id=0x20016A38
[t=57,695,916us] task_start_exec    ppg id=0x20002A60
[t=57,695,940us] task_stop_exec     ppg id=0x20002A60
[t=57,695,944us] task_start_exec    id=0x20016A38
[t=57,695,948us] idle
[t=57,697,987us] task_stop_exec     id=0x20016A38
[t=57,697,991us] task_start_exec    ble id=0x200031DC
[t=57,698,013us] task_stop_exec     ble id=0x200031DC
[t=57,698,017us] task_start_exec    id=0x20016A38
[t=57,698,021us] idle
[t=57,702,986us] task_stop_exec     id=0x20016A38
[t=57,702,990us] task_start_exec    ble id=0x200031DC
[t=57,703,013us] task_stop_exec     ble id=0x200031DC
[t=57,703,016us] task_start_exec    id=0x20016A38
[t=57,703,020us] idle
[t=57,704,986us] task_stop_exec     id=0x20016A38
[t=57,704,990us] task_start_exec    ppg id=0x20002A60
[t=57,706,078us] task_stop_exec     ppg id=0x20002A60
[t=57,706,082us] task_start_exec    id=0x20016A38
[t=57,706,085us] idle
[t=57,707,986us] task_stop_exec     id=0x20016A38
[t=57,707,990us] task_start_exec    ble id=0x200031DC
[t=57,708,013us] task_stop_exec     ble id=0x200031DC
[t=57,708,016us] task_start_exec    id=0x20016A38
[t=57,708,020us] idle
[t=57,712,986us] task_stop_exec     id=0x20016A38
[t=57,712,990us] task_start_exec    key id=0x20006160
[t=57,712,999us] task_stop_exec     key id=0x20006160
[t=57,713,003us] task_start_exec    ble id=0x200031DC
[t=57,713,025us] task_stop_exec     ble id=0x200031DC
[t=57,713,029us] task_start_exec    key id=0x20006160
[t=57,713,044us] task_stop_exec     key id=0x20006160
[t=57,713,048us] task_start_exec    id=0x20016A38
[t=57,713,052us] idle
[t=57,715,986us] task_stop_exec     id=0x20016A38
[t=57,715,990us] task_start_exec    ppg id=0x20002A60
[t=57,717,378us] task_stop_exec     ppg id=0x20002A60
[t=57,717,383us] task_start_exec    id=0x20016A38
[t=57,717,386us] idle
[t=57,717,912us] task_stop_exec     id=0x20016A38
[t=57,717,916us] task_start_exec    ppg id=0x20002A60
[t=57,717,940us] task_stop_exec     ppg id=0x20002A60
[t=57,717,944us] task_start_exec    id=0x20016A38
[t=57,717,947us] idle
[t=57,717,986us] task_stop_exec     id=0x20016A38
[t=57,717,990us] task_start_exec    ble id=0x200031DC
[t=57,718,012us] task_stop_exec     ble id=0x200031DC
[t=57,718,016us] task_start_exec    id=0x20016A38
[t=57,718,020us] idle
[t=57,722,986us] task_stop_exec     id=0x20016A38
[t=57,722,990us] task_start_exec    ble id=0x200031DC
[t=57,723,013us] task_stop_exec     ble id=0x200031DC
[t=57,723,016us] task_start_exec    id=0x20016A38
[t=57,723,020us] idle
[t=57,726,986us] task_stop_exec     id=0x20016A38
[t=57,726,990us] task_start_exec    ppg id=0x20002A60
[t=57,727,986us] task_stop_exec     ppg id=0x20002A60
[t=57,727,990us] task_start_exec    ble id=0x200031DC
[t=57,728,013us] task_stop_exec     ble id=0x200031DC
[t=57,728,017us] task_start_exec    ppg id=0x20002A60
[t=57,728,378us] task_stop_exec     ppg id=0x20002A60
[t=57,728,382us] task_start_exec    id=0x20016A38
[t=57,728,386us] idle
[t=57,728,911us] task_stop_exec     id=0x20016A38
[t=57,728,915us] task_start_exec    ppg id=0x20002A60
[t=57,728,940us] task_stop_exec     ppg id=0x20002A60
[t=57,728,944us] task_start_exec    id=0x20016A38
[t=57,728,947us] idle
[t=57,732,987us] task_stop_exec     id=0x20016A38
[t=57,732,991us] task_start_exec    key id=0x20006160
[t=57,733,000us] task_stop_exec     key id=0x20006160
[t=57,733,004us] task_start_exec    ble id=0x200031DC
[t=57,733,026us] task_stop_exec     ble id=0x200031DC
[t=57,733,030us] task_start_exec    key id=0x20006160
[t=57,733,045us] task_stop_exec     key id=0x20006160
[t=57,733,049us] task_start_exec    id=0x20016A38
[t=57,733,053us] idle
[t=57,737,986us] task_stop_exec     id=0x20016A38
[t=57,737,990us] task_start_exec    ppg id=0x20002A60
[t=57,737,999us] task_stop_exec     ppg id=0x20002A60
[t=57,738,003us] task_start_exec    ble id=0x200031DC
[t=57,738,025us] task_stop_exec     ble id=0x200031DC
[t=57,738,029us] task_start_exec    ppg id=0x20002A60
[t=57,739,415us] task_stop_exec     ppg id=0x20002A60
[t=57,739,419us] task_start_exec    id=0x20016A38
[t=57,739,423us] idle
[t=57,739,949us] task_stop_exec     id=0x20016A38
[t=57,739,952us] task_start_exec    ppg id=0x20002A60
[t=57,739,977us] task_stop_exec     ppg id=0x20002A60
[t=57,739,981us] task_start_exec    id=0x20016A38
[t=57,739,984us] idle
[t=57,742,986us] task_stop_exec     id=0x20016A38
[t=57,742,990us] task_start_exec    ble id=0x200031DC
[t=57,743,012us] task_stop_exec     ble id=0x200031DC
[t=57,743,016us] task_start_exec    id=0x20016A38
[t=57,743,020us] idle
[t=57,747,986us] task_stop_exec     id=0x20016A38
[t=57,747,990us] task_start_exec    ble id=0x200031DC
[t=57,748,013us] task_stop_exec     ble id=0x200031DC
[t=57,748,017us] task_start_exec    id=0x20016A38
[t=57,748,020us] idle
[t=57,748,986us] task_stop_exec     id=0x20016A38
[t=57,748,990us] task_start_exec    ppg id=0x20002A60
[t=57,750,379us] task_stop_exec     ppg id=0x20002A60
[t=57,750,383us] task_start_exec    id=0x20016A38
[t=57,750,386us] idle
[t=57,750,912us] task_stop_exec     id=0x20016A38
[t=57,750,916us] task_start_exec    ppg id=0x20002A60
[t=57,750,940us] task_stop_exec     ppg id=0x20002A60
[t=57,750,944us] task_start_exec    id=0x20016A38
[t=57,750,948us] idle
[t=57,752,986us] task_stop_exec     id=0x20016A38
[t=57,752,990us] task_start_exec    key id=0x20006160
[t=57,752,999us] task_stop_exec     key id=0x20006160
[t=57,753,003us] task_start_exec    ble id=0x200031DC
[t=57,753,025us] task_stop_exec     ble id=0x200031DC
[t=57,753,029us] task_start_exec    key id=0x20006160
