seq,red_raw,ir_raw,red_fir,ir_fir
23162,-41203,-25016,-17920.346279,-10819.028400
23163,-41175,-24993,-17922.961764,-10822.259591
23164,-41140,-24972,-17926.296222,-39.173524
23165,-41116,-24956,-17930.572687,-10830.560661
23166,-41102,-24942,-17935.882949,-10835.710250
23167,-41084,-24934,-17942.138988,-54.530732
23168,-41077,-24929,-17949.040704,-10847.528615
23169,-41082,-24929,-17956.071217,-10853.645273
23170,-41082,-24934,-17962.528538,-72.421216
23171,-41083,-24942,-17967.582392,-10864.025373
23172,-41090,-24944,-17970.353425,-10867.148121
23173,-41096,-24951,-17970.013245,-81.213708
23174,-41103,-24958,-17965.884147,-10866.448082
23175,-41110,-24964,-17957.528631,-10861.788161
23176,-41119,-24972,-17944.821481,-67.090564
23177,-41126,-24981,-17927.989972,-10843.168701
23178,-41137,-24988,-17907.614458,-10829.651506
23179,-41143,-24995,-17884.596596,-27.124166
23180,-41143,-25004,-17860.089192,-10797.088325
23181,-41145,-25008,-17835.397107,-10779.746320
23182,-41145,-25011,-17811.866364,23.922165
23183,-41142,-25012,-17790.765119,-10747.754574
23184,-41136,-25007,-17773.174973,-10734.903182
23185,-41134,-25002,-17759.902649,61.811664
23186,-41127,-25002,-17751.420294,-10718.758660
23187,-41121,-24997,-17747.838928,-10716.064441
23188,-41117,-24994,-17748.917470,69.991072
23189,-41114,-24994,-17754.101854,-10720.969362
23190,-41112,-24992,-17762.591147,-10727.686690
23191,-41111,-24995,-17773.420053,50.522823
23192,-41112,-24999,-17785.546836,-10746.299796
23193,-41117,-25001,-17797.943474,-10756.669207
23194,-41121,-25005,-17809.674814,20.127738
23195,-41127,-25011,-17819.960590,-10776.018646
23196,-41128,-25016,-17828.223995,-10783.923023
23197,-41131,-25017,-17834.114750,-3.282964
23198,-41137,-25024,-17837.513837,-10794.681303
23199,-41140,-25032,-17838.524454,-10797.425639
23200,-41146,-25038,-17837.442620,-11.684264
23201,-41149,-25042,-17834.717628,-10798.456386
23202,-41149,-25045,-17830.907411,-10797.386053
23203,-41152,-25050,-17826.624111,-8.881009
23204,-41159,-25053,-17822.479904,-10794.075951
23205,-41164,-25057,-17819.038779,-10792.645460
23206,-41168,-25064,-17816.768951,-4.928407
23207,-41172,-25064,-17816.004753,-10791.903378
23208,-41170,-25068,-17816.925838,-10793.018094
23209,-41174,-25076,-17819.545399,-8.335032
23210,-41179,-25075,-17823.718088,-10798.533776
23211,-41182,-25081,-17829.166556,-10802.766950
23212,-41186,-25084,-17835.519586,-20.836384
23213,-41191,-25087,-17842.362341,-10813.219757
23214,-41187,-25091,-17849.295013,-10818.950739
23215,-41183,-25089,-17855.985883,-37.806855
23216,-41172,-25081,-17862.216165,-10830.338153
23217,-41146,-25077,-17867.910558,-10835.735645
23218,-41117,-25058,-17873.143038,-53.995646
23219,-41080,-25032,-17878.118485,-10845.913423
23220,-41043,-25010,-17883.131881,-10850.909667
23221,-41013,-24980,-17888.506704,-69.151344
23222,-40985,-24958,-17894.521857,-10861.508177
23223,-40960,-24948,-17901.338578,-10867.353198
23224,-40946,-24931,-17908.936189,-86.675129
23225,-40936,-24923,-17917.068848,-10880.045161
23226,-40930,-24924,-17925.252879,-10886.450017
23227,-40930,-24921,-17932.787684,-105.452694
23228,-40929,-24924,-17938.811395,-10897.220867
23229,-40934,-24929,-17942.385320,-10900.424474
23230,-40943,-24933,-17942.600673,-114.454190
23231,-40947,-24938,-17938.692237,-10899.495376
23232,-40950,-24945,-17930.143454,-10894.448315
23233,-40962,-24951,-17916.772040,-99.141541
23234,-40968,-24961,-17898.782621,-10874.374926
23235,-40979,-24965,-17876.775719,-10859.783507
23236,-40987,-24973,-17851.716139,-55.975946
23237,-40987,-24983,-17824.858690,-10824.494485
23238,-40989,-24986,-17797.639453,-10805.596466
23239,-40994,-24987,-17771.548417,-0.322863
23240,-40987,-24987,-17747.997416,-10770.408760
23241,-40986,-24983,-17728.192106,-10756.041877
23242,-40983,-24979,-17713.033077,42.061467
23243,-40971,-24977,-17703.047882,-10737.288241
23244,-40964,-24972,-17698.359630,-10733.569720
23245,-40961,-24971,-17698.700463,53.300418
23246,-40951,-24970,-17703.460504,-10737.056006
23247,-40952,-24962,-17711.761561,-10743.369420
23248,-40955,-24964,-17722.555070,35.065374
23249,-40949,-24967,-17734.725255,-10761.680101
23250,-40958,-24967,-17747.183645,-10772.083789
23251,-40961,-24970,-17758.958120,4.610953
23252,-40959,-24973,-17769.257258,-10791.658453
23253,-40965,-24973,-17777.511520,-10799.658722
