seq,red_raw,ir_raw,red_fir,ir_fir
501,-465196,-465258,-63.483359,-65.379219
502,-465189,-465255,-201246.125000,-201278.671875
503,-465177,-465248,-201247.921875,-201280.140625
504,-465157,-465226,-68.811484,-70.004219
505,-465140,-465211,-201251.281250,-201283.187500
506,-465113,-465194,-201252.906250,-201284.687500
507,-465078,-465153,-73.670859,-74.551094
508,-465051,-465126,-201255.937500,-201287.890625
509,-465014,-465096,-201257.406250,-201289.500000
510,-464971,-465046,-77.795859,-79.144844
511,-464938,-465012,-201259.750000,-201291.984375
512,-464893,-464978,-201260.718750,-201292.921875
513,-464851,-464926,-80.655234,-81.910469
514,-464820,-464893,-201261.921875,-201293.921875
515,-464778,-464862,-201262.031250,-201293.703125
516,-464738,-464814,-81.077109,-81.676094
517,-464712,-464785,-201261.437500,-201292.390625
518,-464679,-464766,-201260.515625,-201291.187500
519,-464655,-464732,-78.452109,-78.129219
520,-464645,-464717,-201257.796875,-201288.218750
521,-464627,-464708,-201256.140625,-201286.578125
522,-464611,-464685,-73.561484,-73.332344
523,-464613,-464681,-201252.640625,-201283.531250
524,-464605,-464683,-201250.937500,-201282.359375
525,-464594,-464665,-68.608359,-69.597969
526,-464597,-464665,-201248.109375,-201280.593750
527,-464593,-464672,-201247.187500,-201280.140625
528,-464592,-464660,-65.686484,-68.457344
529,-464603,-464667,-201246.312500,-201280.281250
530,-464603,-464681,-201246.406250,-201280.546875
531,-464605,-464673,-65.952109,-69.488594
532,-464620,-464682,-201247.500000,-201281.687500
533,-464619,-464697,-201248.328125,-201282.390625
534,-464624,-464693,-68.561484,-71.238594
535,-464642,-464705,-201250.406250,-201283.500000
536,-464645,-464726,-201251.515625,-201283.984375
537,-464652,-464720,-71.592734,-72.738594
538,-464672,-464733,-201253.390625,-201284.906250
539,-464677,-464753,-201254.406250,-201285.328125
540,-464684,-464748,-74.420859,-74.051094
541,-464699,-464763,-201256.125000,-201286.296875
542,-464703,-464781,-201257.062500,-201287.281250
543,-464707,-464772,-77.280234,-76.660469
544,-464723,-464784,-201259.218750,-201289.625000
545,-464726,-464801,-201260.359375,-201290.937500
546,-464731,-464792,-80.733359,-80.707344
547,-464745,-464804,-201262.812500,-201293.968750
548,-464746,-464823,-201264.109375,-201295.515625
549,-464748,-464814,-84.436484,-85.160469
550,-464765,-464829,-201266.265625,-201297.718750
551,-464766,-464849,-201266.843750,-201298.343750
552,-464770,-464839,-86.327109,-86.926094
553,-464786,-464849,-201267.343750,-201298.312500
554,-464784,-464866,-201266.984375,-201297.796875
555,-464782,-464852,-85.373984,-84.847969
556,-464796,-464862,-201265.234375,-201295.156250
557,-464796,-464876,-201263.718750,-201293.593750
558,-464795,-464860,-81.202109,-80.066719
559,-464807,-464870,-201260.250000,-201290.093750
560,-464804,-464885,-201258.078125,-201288.328125
561,-464802,-464868,-75.342734,-75.285469
562,-464813,-464876,-201254.250000,-201285.671875
563,-464807,-464891,-201252.578125,-201284.593750
564,-464807,-464877,-70.577109,-72.347969
565,-464819,-464884,-201250.781250,-201283.718750
566,-464816,-464898,-201250.890625,-201284.046875
567,-464817,-464885,-70.873984,-72.972969
568,-464831,-464892,-201253.265625,-201286.031250
569,-464826,-464904,-201255.734375,-201287.703125
570,-464824,-464890,-78.014609,-78.160469
571,-464837,-464898,-201262.250000,-201292.250000
572,-464832,-464912,-201265.734375,-201294.859375
573,-464827,-464895,-88.077109,-85.301094
574,-464837,-464898,-201271.156250,-201298.484375
575,-464830,-464908,-201271.703125,-201298.750000
576,-464824,-464890,-89.342734,-85.457344
577,-464829,-464896,-201265.765625,-201293.046875
578,-464819,-464901,-201257.984375,-201285.984375
579,-464814,-464880,-65.342734,-63.551094
580,-464823,-464882,-201230.156250,-201260.593750
581,-464816,-464892,-201209.921875,-201241.703125
582,-464811,-464872,-4.373984,-6.832344
583,-464817,-464874,-201156.703125,-201191.453125
584,-464808,-464883,-201124.921875,-201160.781250
585,-464800,-464865,90.407266,84.464531
586,-464805,-464868,-201054.218750,-201091.796875
587,-464794,-464874,-201017.421875,-201055.515625
588,-464782,-464849,199.954141,192.636406
589,-464781,-464846,-200945.750000,-200983.828125
590,-464770,-464849,-200912.609375,-200950.468750
591,-464764,-464829,298.422891,291.714531
592,-464774,-464835,-200855.703125,-200892.718750
593,-464776,-464851,-200832.781250,-200869.203125
594,-464780,-464842,367.016641,362.027031
595,-464796,-464858,-200798.734375,-200833.843750
596,-464806,-464876,-200787.328125,-200821.718750
597,-464812,-464870,401.797891,398.730156
598,-464832,-464891,-200774.015625,-200807.140625
599,-464840,-464913,-200771.515625,-200803.890625
600,-464848,-464909,409.688516,408.933281
601,-464869,-464929,-200772.546875,-200803.625000
602,-464878,-464955,-200775.593750,-200806.203125
603,-464888,-464954,400.797891,401.636406
604,-464910,-464973,-200785.750000,-200815.375000
605,-464923,-464998,-200792.312500,-200821.859375
606,-464934,-464998,380.751016,382.136406
607,-464959,-465022,-200808.718750,-200838.125000
608,-464973,-465050,-200818.187500,-200847.609375
609,-464986,-465051,352.313516,353.839531
610,-465012,-465076,-200839.187500,-200868.625000
611,-465025,-465101,-200850.421875,-200879.640625
612,-465038,-465101,319.016641,320.839531
613,-465059,-465124,-200873.234375,-200901.906250
614,-465071,-465148,-200884.484375,-200912.718750
615,-465079,-465146,285.501016,288.417656
616,-465098,-465166,-200905.734375,-200933.140625
617,-465109,-465186,-200915.546875,-200942.765625
618,-465115,-465182,255.782266,259.855156
619,-465136,-465201,-200933.906250,-200960.468750
620,-465148,-465220,-200942.203125,-200969.125000
621,-465155,-465219,230.516641,234.355156
622,-465170,-465237,-200958.062500,-200985.421875
623,-465178,-465253,-200965.406250,-200993.421875
624,-465180,-465248,208.313516,210.417656
625,-465195,-465265,-200979.390625,-201008.671875
626,-465203,-465281,-200985.640625,-201015.828125
627,-465206,-465275,189.313516,189.308281
628,-465218,-465290,-200996.828125,-201028.109375
629,-465226,-465303,-201001.609375,-201033.203125
630,-465229,-465299,175.235391,174.042656
631,-465242,-465313,-201008.984375,-201041.140625
632,-465251,-465324,-201011.765625,-201044.046875
633,-465252,-465319,166.735391,165.511406
634,-465264,-465334,-201016.062500,-201047.890625
635,-465269,-465343,-201017.765625,-201049.296875
636,-465265,-465336,161.422891,161.089531
637,-465273,-465346,-201020.859375,-201051.890625
638,-465276,-465352,-201022.468750,-201053.156250
639,-465271,-465343,156.938516,157.073906
640,-465280,-465352,-201025.500000,-201056.234375
641,-465284,-465358,-201026.828125,-201057.640625
642,-465277,-465349,152.782266,152.948906
643,-465280,-465356,-201028.671875,-201059.578125
644,-465279,-465356,-201028.984375,-201060.093750
645,-465267,-465341,151.907266,151.667656
646,-465262,-465342,-201028.140625,-201059.296875
647,-465253,-465334,-201027.015625,-201057.937500
648,-465229,-465310,155.501016,155.667656
649,-465219,-465299,-201023.171875,-201053.500000
650,-465210,-465287,-201020.640625,-201050.562500
651,-465196,-465270,163.235391,164.511406
652,-465206,-465282,-201014.218750,-201043.218750
653,-465222,-465294,-201010.421875,-201039.031250
654,-465234,-465302,174.735391,177.198906
655,-465267,-465333,-201001.187500,-201029.453125
656,-465303,-465364,-200995.578125,-201023.687500
657,-465324,-465388,191.579141,194.073906
658,-465361,-465426,-200982.250000,-201010.687500
659,-465394,-465459,-200974.468750,-201003.171875
660,-465406,-465474,214.501016,216.355156
661,-465432,-465500,-200957.687500,-200987.140625
662,-465462,-465527,-200949.406250,-200978.921875
663,-465483,-465550,239.376016,240.652031
664,-465523,-465588,-200934.343750,-200963.984375
665,-465558,-465620,-200928.671875,-200957.890625
666,-465574,-465640,256.266641,258.323906
667,-465600,-465667,-200922.312500,-200950.546875
668,-465624,-465690,-200922.078125,-200949.609375
669,-465628,-465699,256.860391,260.886406
670,-465646,-465718,-200927.906250,-200954.109375
671,-465660,-465726,-200933.500000,-200959.234375
672,-465658,-465729,240.079141,245.605156
673,-465666,-465738,-200949.312500,-200974.484375
674,-465675,-465742,-200958.687500,-200983.828125
675,-465666,-465736,211.844766,217.402031
676,-465670,-465739,-200979.500000,-201005.390625
677,-465673,-465735,-200990.484375,-201016.906250
678,-465661,-465729,179.001016,182.839531
679,-465661,-465730,-201013.390625,-201041.140625
680,-465665,-465729,-201025.093750,-201053.343750
681,-465647,-465721,143.751016,145.714531
682,-465649,-465723,-201049.281250,-201078.640625
683,-465654,-465720,-201061.718750,-201091.281250
684,-465643,-465716,106.751016,107.714531
685,-465647,-465717,-201086.515625,-201116.281250
686,-465651,-465716,-201098.625000,-201128.406250
687,-465639,-465714,70.329141,71.511406
688,-465643,-465717,-201121.843750,-201151.296875
689,-465649,-465718,-201132.484375,-201161.890625
690,-465639,-465719,38.391641,39.995781
691,-465644,-465723,-201151.687500,-201180.765625
692,-465653,-465721,-201160.359375,-201189.437500
693,-465641,-465718,12.532266,14.339531
694,-465646,-465720,-201175.593750,-201204.937500
695,-465656,-465720,-201182.359375,-201211.859375
696,-465644,-465719,-7.889609,-6.910469
697,-465650,-465719,-201194.734375,-201224.937500
698,-465654,-465715,-201200.218750,-201230.875000
